DRG	MDC	MS	Description
758	MDC 13	M	INFECTIONS FEMALE REPRODUCTIVE SYSTEM WITH CC
759	MDC 13	M	INFECTIONS FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC
760	MDC 13	M	MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC
761	MDC 13	M	MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC
765	MDC 14	P	CESAREAN SECTION WITH CC/MCC
766	MDC 14	P	CESAREAN SECTION WITHOUT CC/MCC
767	MDC 14	P	VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
768	MDC 14	P	VAGINAL DELIVERY WITH O.R. PROCEDURE EXCEPT STERILIZATION AND/OR D&C
769	MDC 14	P	POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURE
770	MDC 14	P	ABORTION WITH D&C ASPIRATION CURETTAGE OR HYSTEROTOMY
774	MDC 14	M	VAGINAL DELIVERY WITH COMPLICATING DIAGNOSES
775	MDC 14	M	VAGINAL DELIVERY WITHOUT COMPLICATING DIAGNOSES
776	MDC 14	M	POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURE
777	MDC 14	M	ECTOPIC PREGNANCY
778	MDC 14	M	THREATENED ABORTION
779	MDC 14	M	ABORTION WITHOUT D&C
780	MDC 14	M	FALSE LABOR
781	MDC 14	M	OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
782	MDC 14	M	OTHER ANTEPARTUM DIAGNOSES WITHOUT MEDICAL COMPLICATIONS
789	MDC 15	M	NEONATES DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY
790	MDC 15	M	EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME NEONATE
791	MDC 15	M	PREMATURITY WITH MAJOR PROBLEMS
792	MDC 15	M	PREMATURITY WITHOUT MAJOR PROBLEMS
793	MDC 15	M	FULL TERM NEONATE WITH MAJOR PROBLEMS
794	MDC 15	M	NEONATE WITH OTHER SIGNIFICANT PROBLEMS
795	MDC 15	M	NORMAL NEWBORN
799	MDC 16	P	SPLENECTOMY WITH MCC
800	MDC 16	P	SPLENECTOMY WITH CC
801	MDC 16	P	SPLENECTOMY WITHOUT CC/MCC
802	MDC 16	P	OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC
803	MDC 16	P	OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC
804	MDC 16	P	OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC
808	MDC 16	M	MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC
809	MDC 16	M	MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC
810	MDC 16	M	MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT CC/MCC
811	MDC 16	M	RED BLOOD CELL DISORDERS WITH MCC
812	MDC 16	M	RED BLOOD CELL DISORDERS WITHOUT MCC
813	MDC 16	M	COAGULATION DISORDERS
814	MDC 16	M	RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC
815	MDC 16	M	RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC
816	MDC 16	M	RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC
820	MDC 17	P	LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH MCC
821	MDC 17	P	LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH CC
822	MDC 17	P	LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITHOUT CC/MCC
823	MDC 17	P	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH MCC
824	MDC 17	P	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH CC
825	MDC 17	P	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITHOUT CC/MCC
826	MDC 17	P	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH MCC
827	MDC 17	P	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH CC
828	MDC 17	P	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITHOUT CC/MCC
829	MDC 17	P	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER O.R. PROCEDURE WITH CC/MCC
830	MDC 17	P	MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER O.R. PROCEDURE WITHOUT CC/MCC
834	MDC 17	M	ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH MCC
835	MDC 17	M	ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH CC
836	MDC 17	M	ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITHOUT CC/MCC
837	MDC 17	M	CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX OR WITH HIGH DOSE CHEMOTHERAPY AGENT WITH MCC
838	MDC 17	M	CHEMOTHERPY WITH ACUTE LEUKEMIA AS SDX WITH CC OR HIGH DOSE CHEMOTHERAPY AGENT
839	MDC 17	M	CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX WITHOUT CC/MCC
840	MDC 17	M	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC
841	MDC 17	M	LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC
842	MDC 17	M	LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT CC/MCC
843	MDC 17	M	OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MCC
844	MDC 17	M	OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH CC
845	MDC 17	M	OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITHOUT CC/MCC
846	MDC 17	M	CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MCC
847	MDC 17	M	CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC
848	MDC 17	M	CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC
849	MDC 17	M	RADIOTHERAPY
853	MDC 18	P	INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITH MCC
854	MDC 18	P	INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITH CC
855	MDC 18	P	INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITHOUT CC/MCC
856	MDC 18	P	POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH MCC
857	MDC 18	P	POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH CC
858	MDC 18	P	POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITHOUT CC/MCC
862	MDC 18	M	POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC
863	MDC 18	M	POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC
864	MDC 18	M	FEVER
865	MDC 18	M	VIRAL ILLNESS WITH MCC
866	MDC 18	M	VIRAL ILLNESS WITHOUT MCC
867	MDC 18	M	OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MCC
868	MDC 18	M	OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH CC
869	MDC 18	M	OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITHOUT CC/MCC
870	MDC 18	M	SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS
871	MDC 18	M	SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
872	MDC 18	M	SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC
876	MDC 19	P	O.R. PROCEDURE WITH PRINCIPAL DIAGNOSES OF MENTAL ILLNESS
880	MDC 19	M	ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION
881	MDC 19	M	DEPRESSIVE NEUROSES
882	MDC 19	M	NEUROSES EXCEPT DEPRESSIVE
883	MDC 19	M	DISORDERS OF PERSONALITY AND IMPULSE CONTROL
884	MDC 19	M	ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY
885	MDC 19	M	PSYCHOSES
886	MDC 19	M	BEHAVIORAL AND DEVELOPMENTAL DISORDERS
887	MDC 19	M	OTHER MENTAL DISORDER DIAGNOSES
894	MDC 20	M	ALCOHOL DRUG ABUSE OR DEPENDENCE LEFT AMA
895	MDC 20	M	ALCOHOL DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY
896	MDC 20	M	ALCOHOL DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC
897	MDC 20	M	ALCOHOL DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC
901	MDC 21	P	WOUND DEBRIDEMENTS FOR INJURIES WITH MCC
902	MDC 21	P	WOUND DEBRIDEMENTS FOR INJURIES WITH CC
903	MDC 21	P	WOUND DEBRIDEMENTS FOR INJURIES WITHOUT CC/MCC
904	MDC 21	P	SKIN GRAFTS FOR INJURIES WITH CC/MCC
905	MDC 21	P	SKIN GRAFTS FOR INJURIES WITHOUT CC/MCC
906	MDC 21	P	HAND PROCEDURES FOR INJURIES
907	MDC 21	P	OTHER O.R. PROCEDURES FOR INJURIES WITH MCC
908	MDC 21	P	OTHER O.R. PROCEDURES FOR INJURIES WITH CC
909	MDC 21	P	OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC
913	MDC 21	M	TRAUMATIC INJURY WITH MCC
914	MDC 21	M	TRAUMATIC INJURY WITHOUT MCC
915	MDC 21	M	ALLERGIC REACTIONS WITH MCC
916	MDC 21	M	ALLERGIC REACTIONS WITHOUT MCC
917	MDC 21	M	POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC
918	MDC 21	M	POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC
919	MDC 21	M	COMPLICATIONS OF TREATMENT WITH MCC
920	MDC 21	M	COMPLICATIONS OF TREATMENT WITH CC
921	MDC 21	M	COMPLICATIONS OF TREATMENT WITHOUT CC/MCC
922	MDC 21	M	OTHER INJURY POISONING AND TOXIC EFFECT DIAGNOSES WITH MCC
923	MDC 21	M	OTHER INJURY POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC
927	MDC 22	P	EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITH SKIN GRAFT
928	MDC 22	P	FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC
929	MDC 22	P	FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT CC/MCC
933	MDC 22	M	EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITHOUT SKIN GRAFT
934	MDC 22	M	FULL THICKNESS BURN WITHOUT SKIN GRFT OR INHALATION INJURY
935	MDC 22	M	NON-EXTENSIVE BURNS
939	MDC 23	P	O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH MCC
940	MDC 23	P	O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC
941	MDC 23	P	O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC
945	MDC 23	M	REHABILITATION WITH CC/MCC
946	MDC 23	M	REHABILITATION WITHOUT CC/MCC
947	MDC 23	M	SIGNS AND SYMPTOMS WITH MCC
948	MDC 23	M	SIGNS AND SYMPTOMS WITHOUT MCC
949	MDC 23	M	AFTERCARE WITH CC/MCC
950	MDC 23	M	AFTERCARE WITHOUT CC/MCC
951	MDC 23	M	OTHER FACTORS INFLUENCING HEALTH STATUS
955	MDC 24	P	CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA
956	MDC 24	P	LIMB REATTACHMENT HIP AND FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA
957	MDC 24	P	OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC
958	MDC 24	P	OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC
959	MDC 24	P	OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC
963	MDC 24	M	OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC
964	MDC 24	M	OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC
965	MDC 24	M	OTHER MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC
969	MDC 25	P	HIV WITH EXTENSIVE O.R. PROCEDURE WITH MCC
970	MDC 25	P	HIV WITH EXTENSIVE O.R. PROCEDURE WITHOUT MCC
974	MDC 25	M	HIV WITH MAJOR RELATED CONDITION WITH MCC
975	MDC 25	M	HIV WITH MAJOR RELATED CONDITION WITH CC
976	MDC 25	M	HIV WITH MAJOR RELATED CONDITION WITHOUT CC/MCC
977	MDC 25	M	HIV WITH OR WITHOUT OTHER RELATED CONDITION
981	 	P	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
982	 	P	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
983	 	P	EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
984	 	P	PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
985	 	P	PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
986	 	P	PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
987	 	P	NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
988	 	P	NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
989	 	P	NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
998	 	 	PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS
999	No MDC	 	UNGROUPABLE
